Year,Month,Date,Tm,Pm,TmA,PmA,P
1955,10,1955/10/01,7.1,160.1,0.413,5.667,1
1955,11,1955/11/01,2.4,185.7,0.137,5.483,1
1955,12,1955/12/01,2.2,189.5,2.697,35.86,1
1956,1,1956/1/01,-1.6,190.2,-0.745,40.626,1
1956,2,1956/2/01,-7.7,205,-6.7,68.76,1
1956,3,1956/3/01,2,146.6,1.197,4.283,1
1956,4,1956/4/01,1.3,92,-1.69,-36.37,0
1956,5,1956/5/01,6.6,49.4,-0.34,-79.147,0
1956,6,1956/6/01,11,41,-0.657,-34.753,0
1956,7,1956/7/01,14.2,9.8,-1.933,-14.643,0
1956,8,1956/8/01,14.3,14.8,-1.307,-14.75,0
1956,9,1956/9/01,10.7,138.6,-1.073,46.94,1
1956,10,1956/10/01,6.9,61.2,0.213,-93.233,0
1956,11,1956/11/01,-0.9,57.7,-3.163,-122.517,0
1956,12,1956/12/01,1,64.7,1.497,-88.94,0
1957,1,1957/1/01,-1,46.8,-0.145,-102.774,0
1957,2,1957/2/01,1,83.7,2,-52.54,0
1957,3,1957/3/01,4.8,96.8,3.997,-45.517,0
1957,4,1957/4/01,2,109.2,-0.99,-19.17,0
1957,5,1957/5/01,5.8,140.7,-1.14,12.153,1
1957,6,1957/6/01,9.7,128.8,-1.957,53.047,1
1957,7,1957/7/01,15.4,0,-0.733,-24.443,0
1957,8,1957/8/01,16.9,19.2,1.293,-10.35,0
1957,9,1957/9/01,13.2,68.7,1.427,-22.96,0
1957,10,1957/10/01,7.3,182.8,0.613,28.367,1
1957,11,1957/11/01,1.7,77.4,-0.563,-102.817,0
1957,12,1957/12/01,-1.5,51,-1.003,-102.64,0
1958,1,1958/1/01,-1.5,86,-0.645,-63.574,0
1958,2,1958/2/01,1,116.6,2,-19.64,0
1958,3,1958/3/01,-0.5,229.9,-1.303,87.583,1
1958,4,1958/4/01,1.5,96.4,-1.49,-31.97,0
1958,5,1958/5/01,8.6,46.3,1.66,-82.247,0
1958,6,1958/6/01,9.6,138.3,-2.057,62.547,1
1958,7,1958/7/01,14.7,22,-1.433,-2.443,0
1958,8,1958/8/01,15,24,-0.607,-5.55,0
1958,9,1958/9/01,14.3,57.6,2.527,-34.06,0
1958,10,1958/10/01,6.1,79.9,-0.587,-74.533,0
1958,11,1958/11/01,1.2,41.1,-1.063,-139.117,0
1958,12,1958/12/01,-0.1,456.3,0.397,302.66,1
1959,1,1959/1/01,1.3,146,2.155,-3.574,0
1959,2,1959/2/01,0.1,32.8,1.1,-103.44,0
1959,3,1959/3/01,0.7,173.2,-0.103,30.883,1
1959,4,1959/4/01,2.4,100,-0.59,-28.37,0
1959,5,1959/5/01,6.1,173.5,-0.84,44.953,1
1959,6,1959/6/01,11.9,40.2,0.243,-35.553,0
1959,7,1959/7/01,17.4,32.2,1.267,7.757,1
1959,8,1959/8/01,14.8,104.2,-0.807,74.65,1
1959,9,1959/9/01,9.6,161.3,-2.173,69.64,1
1959,10,1959/10/01,5.6,176.1,-1.087,21.667,1
1959,11,1959/11/01,1.4,186.5,-0.863,6.283,1
1959,12,1959/12/01,-1.2,189,-0.703,35.36,1
1960,1,1960/1/01,-0.5,128.8,0.355,-20.774,0
1960,2,1960/2/01,-0.8,223.4,0.2,87.16,1
1960,3,1960/3/01,1.4,88.3,0.597,-54.017,0
1960,4,1960/4/01,4,23.4,1.01,-104.97,0
