Year,Month,Date,Tm,Pm,TmA,PmA,P
1984,8,1984/8/01,14.5,24.6,-1.107,-4.95,0
1984,9,1984/9/01,11.7,22.2,-0.073,-69.46,0
1984,10,1984/10/01,7.4,77.5,0.713,-76.933,0
1984,11,1984/11/01,2.3,500.4,0.037,320.183,1
1984,12,1984/12/01,0,58.7,0.497,-94.94,0
1985,1,1985/1/01,-3.7,143.5,-2.845,-6.074,0
1985,2,1985/2/01,1.4,98.6,2.4,-37.64,0
1985,3,1985/3/01,-1.2,121.7,-2.003,-20.617,0
1985,4,1985/4/01,4.4,111,1.41,-17.37,0
1985,5,1985/5/01,4.8,108,-2.14,-20.547,0
1985,6,1985/6/01,12.4,26,0.743,-49.753,0
1985,7,1985/7/01,17.7,7.5,1.567,-16.943,0
1985,8,1985/8/01,16.8,0,1.193,-29.55,0
1985,9,1985/9/01,16.4,29.7,4.627,-61.96,0
1985,10,1985/10/01,10,8,3.313,-146.433,0
1985,11,1985/11/01,1.5,120.3,-0.763,-59.917,0
1985,12,1985/12/01,2,160,2.497,6.36,1
1986,1,1986/1/01,-2.2,96,-1.345,-53.574,0
1986,2,1986/2/01,-2.6,139.9,-1.6,3.66,1
1986,3,1986/3/01,0.5,58.7,-0.303,-83.617,0
1986,4,1986/4/01,-1.2,127.3,-4.19,-1.07,0
1986,5,1986/5/01,9.7,25.5,2.76,-103.047,0
1986,6,1986/6/01,13.3,1,1.643,-74.753,0
1986,7,1986/7/01,17.9,10,1.767,-14.443,0
1986,8,1986/8/01,15.5,12.5,-0.107,-17.05,0
1986,9,1986/9/01,12.6,86,0.827,-5.66,0
1986,10,1986/10/01,7.9,254.5,1.213,100.067,1
1986,11,1986/11/01,3.6,99.5,1.337,-80.717,0
1986,12,1986/12/01,0.1,96.3,0.597,-57.34,0
1987,1,1987/1/01,-1.5,179,-0.645,29.426,1
1987,2,1987/2/01,-1.1,186.5,-0.1,50.26,1
1987,3,1987/3/01,2.8,35.5,1.997,-106.817,0
1987,4,1987/4/01,4.7,117,1.71,-11.37,0
1987,5,1987/5/01,7.6,53.5,0.66,-75.047,0
1987,6,1987/6/01,12.1,62.5,0.443,-13.253,0
1987,7,1987/7/01,14.6,78.5,-1.533,54.057,1
1987,8,1987/8/01,17.7,13.5,2.093,-16.05,0
1987,9,1987/9/01,15.8,57,4.027,-34.66,0
1987,10,1987/10/01,5,206,-1.687,51.567,1
1987,11,1987/11/01,2.1,147.5,-0.163,-32.717,0
1987,12,1987/12/01,3.1,270,3.597,116.36,1
1988,1,1988/1/01,-0.2,243.2,0.655,93.626,1
1988,2,1988/2/01,-1.1,31.3,-0.1,-104.94,0
1988,3,1988/3/01,2,31.5,1.197,-110.817,0
1988,4,1988/4/01,2.6,216,-0.39,87.63,1
1988,5,1988/5/01,6,158.6,-0.94,30.053,1
1988,6,1988/6/01,9,253,-2.657,177.247,1
1988,7,1988/7/01,16,65.9,-0.133,41.457,1
1988,8,1988/8/01,18.3,0.2,2.693,-29.35,0
1988,9,1988/9/01,14.8,16.8,3.027,-74.86,0
1988,10,1988/10/01,9.1,140,2.413,-14.433,0
1988,11,1988/11/01,4.6,151.3,2.337,-28.917,0
1988,12,1988/12/01,2.4,13.5,2.897,-140.14,0
1989,1,1989/1/01,0.8,25.8,1.655,-123.774,0
1989,2,1989/2/01,0.4,116.1,1.4,-20.14,0
1989,3,1989/3/01,4,82.3,3.197,-60.017,0
1989,4,1989/4/01,-0.3,162.8,-3.29,34.43,1
1989,5,1989/5/01,9.7,117.1,2.76,-11.447,0
1989,6,1989/6/01,13,69.7,1.343,-6.053,0
1989,7,1989/7/01,18.6,34,2.467,9.557,1
1989,8,1989/8/01,17.6,35.1,1.993,5.55,1
1989,9,1989/9/01,11.7,44.2,-0.073,-47.46,0
1989,10,1989/10/01,9.1,43.3,2.413,-111.133,0
1989,11,1989/11/01,2.4,480.9,0.137,300.683,1
1989,12,1989/12/01,1.1,299.9,1.597,146.26,1
1990,1,1990/1/01,-1,78.2,-0.145,-71.374,0
1990,2,1990/2/01,3.7,5.8,4.7,-130.44,0
1990,3,1990/3/01,3.2,37,2.397,-105.317,0
1990,4,1990/4/01,0.5,105.1,-2.49,-23.27,0
1990,5,1990/5/01,8.9,19.5,1.96,-109.047,0
1990,6,1990/6/01,13.8,21.1,2.143,-54.653,0
1990,7,1990/7/01,18.1,62.9,1.967,38.457,1
1990,8,1990/8/01,17.9,9.6,2.293,-19.95,0
1990,9,1990/9/01,14.5,72.9,2.727,-18.76,0
1990,10,1990/10/01,6.3,153.8,-0.387,-0.633,0
1990,11,1990/11/01,2.6,137.6,0.337,-42.617,0
1990,12,1990/12/01,-0.3,102.2,0.197,-51.44,0
1991,1,1991/1/01,-1.6,30.4,-0.745,-119.174,0
1991,2,1991/2/01,-2.3,146.1,-1.3,9.86,1
1991,3,1991/3/01,1,152.7,0.197,10.383,1
1991,4,1991/4/01,1.8,82.8,-1.19,-45.57,0
1991,5,1991/5/01,5.6,106.5,-1.34,-22.047,0
1991,6,1991/6/01,13.9,9.2,2.243,-66.553,0
1991,7,1991/7/01,17.3,10.5,1.167,-13.943,0
1991,8,1991/8/01,19.1,0,3.493,-29.55,0
1991,9,1991/9/01,13.4,89,1.627,-2.66,0
1991,10,1991/10/01,4.5,152.5,-2.187,-1.933,0
1991,11,1991/11/01,2.3,103.1,0.037,-77.117,0
1991,12,1991/12/01,2.6,20.5,3.097,-133.14,0
1992,1,1992/1/01,-1.4,20.1,-0.545,-129.474,0
1992,2,1992/2/01,2.5,23.5,3.5,-112.74,0
1992,3,1992/3/01,2.9,42.8,2.097,-99.517,0
1992,4,1992/4/01,4.4,91.8,1.41,-36.57,0
1992,5,1992/5/01,9.8,117.3,2.86,-11.247,0
1992,6,1992/6/01,7.9,150.1,-3.757,74.347,1
1992,7,1992/7/01,16.8,19.2,0.667,-5.243,0
1992,8,1992/8/01,16.4,47.6,0.793,18.05,1
1992,9,1992/9/01,12.6,57.6,0.827,-34.06,0
1992,10,1992/10/01,3.5,238,-3.187,83.567,1
1992,11,1992/11/01,5.8,28.4,3.537,-151.817,0
1992,12,1992/12/01,-0.3,137.9,0.197,-15.74,0
1993,1,1993/1/01,3,12.1,3.855,-137.474,0
1993,2,1993/2/01,-1.2,28.1,-0.2,-108.14,0
1993,3,1993/3/01,1.6,60.3,0.797,-82.017,0
1993,4,1993/4/01,2.2,94.9,-0.79,-33.47,0
1993,5,1993/5/01,5.5,135,-1.44,6.453,1
1993,6,1993/6/01,11.6,119.5,-0.057,43.747,1
1993,7,1993/7/01,15.9,7.4,-0.233,-17.043,0
1993,8,1993/8/01,16.5,8.2,0.893,-21.35,0
1993,9,1993/9/01,8.9,44.2,-2.873,-47.46,0
1993,10,1993/10/01,2.2,357.1,-4.487,202.667,1
1993,11,1993/11/01,2.3,159.3,0.037,-20.917,0
1993,12,1993/12/01,1.4,36.3,1.897,-117.34,0
1994,1,1994/1/01,-1,105.6,-0.145,-43.974,0
1994,2,1994/2/01,-1,108.7,0,-27.54,0
1994,3,1994/3/01,5.8,21.6,4.997,-120.717,0
1994,4,1994/4/01,1.6,22.9,-1.39,-105.47,0
1994,5,1994/5/01,7.4,214.8,0.46,86.253,1
1994,6,1994/6/01,13.2,2.2,1.543,-73.553,0
1994,7,1994/7/01,19.2,43.3,3.067,18.857,1
1994,8,1994/8/01,17.9,3.9,2.293,-25.65,0
1994,9,1994/9/01,8.9,26,-2.873,-65.66,0
1994,10,1994/10/01,7.2,127.2,0.513,-27.233,0
1994,11,1994/11/01,6.1,111,3.837,-69.217,0
1994,12,1994/12/01,1.4,52.6,1.897,-101.04,0
1995,1,1995/1/01,-1.2,61.9,-0.345,-87.674,0
1995,2,1995/2/01,2.1,90.2,3.1,-46.04,0
1995,3,1995/3/01,2.8,58,1.997,-84.317,0
1995,4,1995/4/01,5.8,58.4,2.81,-69.97,0
1995,5,1995/5/01,9.3,54.9,2.36,-73.647,0
1995,6,1995/6/01,13.5,52.4,1.843,-23.353,0
1995,7,1995/7/01,17.6,14.3,1.467,-10.143,0
1995,8,1995/8/01,17,43,1.393,13.45,1
1995,9,1995/9/01,8.8,66.2,-2.973,-25.46,0
1995,10,1995/10/01,9.6,32.1,2.913,-122.333,0
1995,11,1995/11/01,4.2,223.5,1.937,43.283,1
1995,12,1995/12/01,0.1,254.2,0.597,100.56,1
1996,1,1996/1/01,-0.8,559,0.055,409.426,1
1996,2,1996/2/01,-2.5,162.5,-1.5,26.26,1
1996,3,1996/3/01,0.6,101.6,-0.203,-40.717,0
1996,4,1996/4/01,4.1,107.7,1.11,-20.67,0
1996,5,1996/5/01,6.5,221.5,-0.44,92.953,1
1996,6,1996/6/01,13.9,15.5,2.243,-60.253,0
1996,7,1996/7/01,16.2,22.9,0.067,-1.543,0
1996,8,1996/8/01,14.8,21.2,-0.807,-8.35,0
1996,9,1996/9/01,10,88.5,-1.773,-3.16,0
1996,10,1996/10/01,7.5,93.8,0.813,-60.633,0
1996,11,1996/11/01,3,163.2,0.737,-17.017,0
1996,12,1996/12/01,-0.1,453.6,0.397,299.96,1
1997,1,1997/1/01,-1.4,270,-0.545,120.426,1
1997,2,1997/2/01,3.7,11.6,4.7,-124.64,0
1997,3,1997/3/01,7.4,0,6.597,-142.317,0
1997,4,1997/4/01,7.8,87.2,4.81,-41.17,0
1997,5,1997/5/01,6.9,170.2,-0.04,41.653,1
1997,6,1997/6/01,9.6,111.5,-2.057,35.747,1
1997,7,1997/7/01,14.3,59,-1.833,34.557,1
1997,8,1997/8/01,16.3,23.4,0.693,-6.15,0
1997,9,1997/9/01,14.7,73.9,2.927,-17.76,0
1997,10,1997/10/01,9.2,113.4,2.513,-41.033,0
1997,11,1997/11/01,2,416.2,-0.263,235.983,1
1997,12,1997/12/01,1,283.9,1.497,130.26,1
1998,1,1998/1/01,-0.3,211.6,0.555,62.026,1
1998,2,1998/2/01,3.7,23.9,4.7,-112.34,0
1998,3,1998/3/01,5.2,50.6,4.397,-91.717,0
1998,4,1998/4/01,0.4,191.8,-2.59,63.43,1
1998,5,1998/5/01,6.3,226.5,-0.64,97.953,1
1998,6,1998/6/01,13.7,43.3,2.043,-32.453,0
1998,7,1998/7/01,17.6,32.1,1.467,7.657,1
1998,8,1998/8/01,18.6,21.7,2.993,-7.85,0
1998,9,1998/9/01,11.7,126.2,-0.073,34.54,1
1998,10,1998/10/01,7.1,39,0.413,-115.433,0
1998,11,1998/11/01,2.2,88.5,-0.063,-91.717,0
1998,12,1998/12/01,1.7,134.9,2.197,-18.74,0
1999,1,1999/1/01,-0.6,75.1,0.255,-74.474,0
1999,2,1999/2/01,-1.4,53.2,-0.4,-83.04,0
1999,3,1999/3/01,1.2,79.9,0.397,-62.417,0
1999,4,1999/4/01,4.2,81.8,1.21,-46.57,0
1999,5,1999/5/01,8.8,122.8,1.86,-5.747,0
1999,6,1999/6/01,13.6,22.3,1.943,-53.453,0
1999,7,1999/7/01,18.5,41.7,2.367,17.257,1
1999,8,1999/8/01,17.3,9.4,1.693,-20.15,0
1999,9,1999/9/01,11.7,129.4,-0.073,37.74,1
1999,10,1999/10/01,7.2,213,0.513,58.567,1
1999,11,1999/11/01,0.5,85.8,-1.763,-94.417,0
1999,12,1999/12/01,0.8,131.6,1.297,-22.04,0
2000,1,2000/1/01,-0.1,54.9,0.755,-94.674,0
2000,2,2000/2/01,4.2,15.3,5.2,-120.94,0
2000,3,2000/3/01,3.7,82.7,2.897,-59.617,0
2000,4,2000/4/01,0.5,374.6,-2.49,246.23,1
2000,5,2000/5/01,9.2,144.4,2.26,15.853,1
2000,6,2000/6/01,14.4,42,2.743,-33.753,0
2000,7,2000/7/01,15.4,27.3,-0.733,2.857,1
2000,8,2000/8/01,16.3,3.5,0.693,-26.05,0
2000,9,2000/9/01,13.8,28.6,2.027,-63.06,0
2000,10,2000/10/01,6.7,118.1,0.013,-36.333,0
2000,11,2000/11/01,0.7,308,-1.563,127.783,1
2000,12,2000/12/01,0.8,243.1,1.297,89.46,1
2001,1,2001/1/01,-0.8,265.8,0.055,116.226,1
2001,2,2001/2/01,0.2,139.1,1.2,2.86,1
2001,3,2001/3/01,3.1,191.6,2.297,49.283,1
2001,4,2001/4/01,3.9,28.7,0.91,-99.67,0
2001,5,2001/5/01,8.2,98,1.26,-30.547,0
2001,6,2001/6/01,15.5,26,3.843,-49.753,0
2001,7,2001/7/01,15.5,21.4,-0.633,-3.043,0
2001,8,2001/8/01,17.3,25.3,1.693,-4.25,0
2001,9,2001/9/01,12.8,57.8,1.027,-33.86,0
2001,10,2001/10/01,8.6,200.5,1.913,46.067,1
2001,11,2001/11/01,0.5,39.3,-1.763,-140.917,0
2001,12,2001/12/01,0.8,35.4,1.297,-118.24,0
2002,1,2002/1/01,1.2,108.5,2.055,-41.074,0
2002,2,2002/2/01,2.2,39.7,3.2,-96.54,0
2002,3,2002/3/01,3,133.5,2.197,-8.817,0
2002,4,2002/4/01,4.7,118.4,1.71,-9.97,0
2002,5,2002/5/01,6.2,79.4,-0.74,-49.147,0
2002,6,2002/6/01,14.9,63.7,3.243,-12.053,0
2002,7,2002/7/01,16.1,6.2,-0.033,-18.243,0
2002,8,2002/8/01,15,117.1,-0.607,87.55,1
2002,9,2002/9/01,11.2,137.5,-0.573,45.84,1
2002,10,2002/10/01,7.2,171.4,0.513,16.967,1
2002,11,2002/11/01,1.8,229.7,-0.463,49.483,1
2002,12,2002/12/01,0.8,253.1,1.297,99.46,1
2003,1,2003/1/01,-2.4,146,-1.545,-3.574,0
2003,2,2003/2/01,-2.2,164,-1.2,27.76,1
2003,3,2003/3/01,3.8,120.3,2.997,-22.017,0
2003,4,2003/4/01,4.1,98.8,1.11,-29.57,0
2003,5,2003/5/01,9.2,88.9,2.26,-39.647,0
2003,6,2003/6/01,16.7,15.3,5.043,-60.453,0
2003,7,2003/7/01,17.9,0,1.767,-24.443,0
2003,8,2003/8/01,19.5,35.9,3.893,6.35,1
2003,9,2003/9/01,13.7,69.9,1.927,-21.76,0
2003,10,2003/10/01,5.5,278.4,-1.187,123.967,1
2003,11,2003/11/01,3.4,270.1,1.137,89.883,1
2003,12,2003/12/01,-0.1,232.9,0.397,79.26,1
2004,1,2004/1/01,0.5,103.1,1.355,-46.474,0
2004,2,2004/2/01,1.2,125.5,2.2,-10.74,0
2004,3,2004/3/01,0.6,153.1,-0.203,10.783,1
2004,4,2004/4/01,2.8,79.4,-0.19,-48.97,0
2004,5,2004/5/01,5.8,215.8,-1.14,87.253,1
2004,6,2004/6/01,15.8,24.1,4.143,-51.653,0
2004,7,2004/7/01,17.2,2.7,1.067,-21.743,0
2004,8,2004/8/01,15.7,73,0.093,43.45,1
2004,9,2004/9/01,14.7,21,2.927,-70.66,0
2004,10,2004/10/01,7.2,267.3,0.513,112.867,1
2004,11,2004/11/01,3.3,65.6,1.037,-114.617,0
2004,12,2004/12/01,-0.7,118.4,-0.203,-35.24,0
2005,1,2005/1/01,0,19.3,0.855,-130.274,0
2005,2,2005/2/01,-4.2,139,-3.2,2.76,1
2005,3,2005/3/01,1.8,64.4,0.997,-77.917,0
2005,4,2005/4/01,4.2,78,1.21,-50.37,0
2005,5,2005/5/01,10.1,65.8,3.16,-62.747,0
2005,6,2005/6/01,15.8,82.1,4.143,6.347,1
2005,7,2005/7/01,17.9,0,1.767,-24.443,0
2005,8,2005/8/01,17.8,27,2.193,-2.55,0
2005,9,2005/9/01,12.7,20.8,0.927,-70.86,0
2005,10,2005/10/01,7.8,303.6,1.113,149.167,1
2005,11,2005/11/01,0.6,119.6,-1.663,-60.617,0
2005,12,2005/12/01,-0.7,135.2,-0.203,-18.44,0
2006,1,2006/1/01,-1.7,48.9,-0.845,-100.674,0
2006,2,2006/2/01,-0.3,146.5,0.7,10.26,1
2006,3,2006/3/01,2.1,173.4,1.297,31.083,1
2006,4,2006/4/01,5.9,95.6,2.91,-32.77,0
2006,5,2006/5/01,11,60.5,4.06,-68.047,0
2006,6,2006/6/01,15.3,91.4,3.643,15.647,1
2006,7,2006/7/01,19.1,7.1,2.967,-17.343,0
2006,8,2006/8/01,16.2,21.7,0.593,-7.85,0
2006,9,2006/9/01,13.7,92.8,1.927,1.14,1
2006,10,2006/10/01,9,354.7,2.313,200.267,1
2006,11,2006/11/01,4.9,361.6,2.637,181.383,1
2006,12,2006/12/01,0.1,98.3,0.597,-55.34,0
2007,1,2007/1/01,1.6,69.4,2.455,-80.174,0
2007,2,2007/2/01,0.7,143.6,1.7,7.36,1
2007,3,2007/3/01,1,78.8,0.197,-63.517,0
2007,4,2007/4/01,4.6,162,1.61,33.63,1
2007,5,2007/5/01,7.4,143.3,0.46,14.753,1
2007,6,2007/6/01,11.5,91.9,-0.157,16.147,1
2007,7,2007/7/01,16,0.6,-0.133,-23.843,0
2007,8,2007/8/01,15.3,27.7,-0.307,-1.85,0
2007,9,2007/9/01,13.6,15,1.827,-76.66,0
2007,10,2007/10/01,7.6,101,0.913,-53.433,0
2007,11,2007/11/01,4.6,77.7,2.337,-102.517,0
2007,12,2007/12/01,0.7,65.3,1.197,-88.34,0
2008,1,2008/1/01,2.3,79,3.155,-70.574,0
2008,2,2008/2/01,2.2,91.2,3.2,-45.04,0
2008,3,2008/3/01,1.2,68.8,0.397,-73.517,0
2008,4,2008/4/01,4.6,277.2,1.61,148.83,1
2008,5,2008/5/01,6.6,225.4,-0.34,96.853,1
2008,6,2008/6/01,12.4,72.9,0.743,-2.853,0
2008,7,2008/7/01,15.9,19.3,-0.233,-5.143,0
2008,8,2008/8/01,16.9,6.2,1.293,-23.35,0
2008,9,2008/9/01,11.6,82.5,-0.173,-9.16,0
2008,10,2008/10/01,6.7,213.4,0.013,58.967,1
2008,11,2008/11/01,-0.3,70.9,-2.563,-109.317,0
2008,12,2008/12/01,-0.6,172.3,-0.103,18.66,1
2009,1,2009/1/01,-2.2,216.2,-1.345,66.626,1
2009,2,2009/2/01,0.6,133.2,1.6,-3.04,0
2009,3,2009/3/01,4.3,101.3,3.497,-41.017,0
2009,4,2009/4/01,2.7,114.6,-0.29,-13.77,0
2009,5,2009/5/01,10.4,38.9,3.46,-89.647,0
2009,6,2009/6/01,14.7,46.5,3.043,-29.253,0
2009,7,2009/7/01,17.5,10,1.367,-14.443,0
2009,8,2009/8/01,19.5,3,3.893,-26.55,0
2009,9,2009/9/01,13.3,15.7,1.527,-75.96,0
2009,10,2009/10/01,10.8,103.1,4.113,-51.333,0
2009,11,2009/11/01,3.4,93.7,1.137,-86.517,0
2009,12,2009/12/01,-0.3,198.4,0.197,44.76,1
2010,1,2010/1/01,-2.4,114.4,-1.545,-35.174,0
2010,2,2010/2/01,-2.3,172.6,-1.3,36.36,1
2010,3,2010/3/01,-0.5,99.5,-1.303,-42.817,0
2010,4,2010/4/01,5.9,69.4,2.91,-58.97,0
2010,5,2010/5/01,6.3,88.9,-0.64,-39.647,0
2010,6,2010/6/01,12,119.2,0.343,43.447,1
2010,7,2010/7/01,19,6.1,2.867,-18.343,0
2010,8,2010/8/01,17.9,30.1,2.293,0.55,1
2010,9,2010/9/01,13.1,33.6,1.327,-58.06,0
2010,10,2010/10/01,6.7,161.2,0.013,6.767,1
2010,11,2010/11/01,0.4,105.7,-1.863,-74.517,0
2010,12,2010/12/01,0.1,228.4,0.597,74.76,1
